"Graves Creek at Highway12", 76HB 02800
Timestamp,Discharge.discharge@76HB 02800 (ft^3/s),Approval Name
2016-06-16 04:29,5.317,Approved
2016-06-16 04:59,5.345,Approved
2016-06-16 05:29,5.345,Approved
2016-06-16 05:59,5.317,Approved
2016-06-16 06:29,5.345,Approved
2016-06-16 06:59,5.374,Approved
2016-06-16 07:29,5.368,Approved
2016-06-16 07:59,5.362,Approved
2016-06-16 08:29,5.357,Approved
2016-06-16 08:59,5.357,Approved
2016-06-16 09:29,5.351,Approved
2016-06-16 09:59,5.328,Approved
2016-06-16 10:29,5.340,Approved
2016-06-16 10:59,5.311,Approved
2016-06-16 11:29,5.311,Approved
2016-06-16 11:59,5.323,Approved
2016-06-16 12:29,5.289,Approved
2016-06-16 12:59,5.311,Approved
2016-06-16 13:29,5.328,Approved
2016-06-16 13:59,5.340,Approved
